"name","location","type","url","email"
"Bay Life Church","1017 Kingsway Rd","Baptist church","http://www.baylife.org/","baylife@baylife.org"
"Journey Church of Brandon","415 W Lumsden Rd","Church","http://www.journey7.com/","Tech@Journey7.com"
"Bell Shoals Baptist Church","2102 Bell Shoals Rd","Place of worship","http://bellshoals.com/","ldonato@bellshoals.com"
"Rivers of Life Church Ministries","301 Lakewood Dr","Non-denominational church","http://www.rolcm.org/","info@rolcm.org"
"Southside Baptist Church (Brandon, FL)","415 W Lumsden Rd","Baptist church","http://southsidebrandon.org/","info@southsidebrandon.org"
"The Crossing Church","10130 Tuscany Ridge Dr","Non-denominational church","http://wearecrossing.com/","info@crossingonline.org"
"New Hope United Methodist Church","213 N Knights Ave","Methodist church","http://www.findnewhope.com/","info@findnewhope.com"
"First Presbyterian Church of Brandon","121 Carver Ave","Presbyterian church","https://fpcbrandon.org/","church@fpcbrandon.org"
"Palms Church","207 New Hope Rd","Christian church","https://www.thepalmschurch.com/about-us","yguz0123@gmail.com"
"Brandon Christian Church (Disciples of Christ)","910 Bryan Rd","Christian church","http://brandonchristianchurch.org/","www.impallari.com|impallari@gmail.com"
"Brandon Christian Church (Disciples of Christ)","910 Bryan Rd","Christian church","http://brandonchristianchurch.org/","www.ikern.com|mail@iginomarini.com"
"Brandon Christian Church (Disciples of Christ)","910 Bryan Rd","Christian church","http://brandonchristianchurch.org/","brandonchristianchurch@gmail.com"
