"name","location","type","url","email"
"Chapel By-the-Sea Clearwater Beach Community Church","54 Bay Esplanade","Non-denominational church","http://www.chapelbythesea.net/","churchoffice@chapelbythesea.net"
"First Christian Church","2299 Drew St","Church","http://fccclearwater.org/","info@fccclearwater.org"
"Cypress Meadows Community Church","2180 North McMullen Booth Rd","Church","http://www.cypressmeadows.org/","office@ministrywebsitedesigns.com"
"Cypress Meadows Community Church","2180 North McMullen Booth Rd","Church","http://www.cypressmeadows.org/","ypressmeadowschurch@gmail.com"
"New Destiny Worship Center","2110 N Hercules Ave","Church","http://www.newdestinywc.com/","info@newdestinywc.com"
"St Brendan's Catholic Church","245 Dory Passage","Church","http://www.stbrendancatholic.org/","stbrendan@stbrendancatholic.org"
"North Bay Community Church","3170 McMullen Booth Rd","Church","http://www.northbaycommunitychurch.org/","NBCCA@tampabay.rr.com"
"North Bay Community Church","3170 McMullen Booth Rd","Church","http://www.northbaycommunitychurch.org/","nbcc@tampbay.rr.com"
"BLDG 28 Church","25714 US-19","Place of worship","http://bldg28.com/","info@bldg28.com"
"BLDG 28 Church","25714 US-19","Place of worship","http://bldg28.com/","INFO@BLDG28.COM"
"The Point Church","1430 Belleair Rd","Church","http://www.themainpoint.org/","info@themainpoint.org"
"Episcopal Church of the Ascension","701 Orange Ave","Episcopal church","http://www.churchofascension.org/","office@churchofascension.org"
"Episcopal Church of the Ascension","701 Orange Ave","Episcopal church","http://www.churchofascension.org/","8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com"
"Faith Christian Church","303 N Myrtle Ave","Full Gospel church","http://faithchristianchurch.com/","Admin@faithchristianchurch.com"
"Faith Christian Church","303 N Myrtle Ave","Full Gospel church","http://faithchristianchurch.com/","Nick@faithchristianchurch.com"
"Faith Christian Church","303 N Myrtle Ave","Full Gospel church","http://faithchristianchurch.com/","info@faithchristianchurch.com"
"Faith Christian Church","303 N Myrtle Ave","Full Gospel church","http://faithchristianchurch.com/","Info@faithchristianchurch.com"
"St. Cecelia Catholic Church","820 Jasmine Way","Catholic church","http://www.stceceliachurch.org/","8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com"
"St. Cecelia Catholic Church","820 Jasmine Way","Catholic church","http://www.stceceliachurch.org/","office@stceceliachurch.org"
"Light of Christ Catholic Church","2176 Marilyn St","Place of worship","http://www.locchurch.org/","info@locchurch.org"
"Bethel Lutheran Church","3166 McMullen Booth Rd","Lutheran church","http://www.bethellutheranclearwater.org/","BLutheranChurch@tampabay.rr.com."
