"name","location","type","url","email"
"Kissimmee Christian Church","415 N Main St","Christian church","http://www.kissimmeechristianchurch.org/","staff@kissimmeechristianchurch.org"
"Holy Redeemer Catholic Church","1603 N Thacker Ave","Catholic church","http://www.hredeemer.org/","ipulido@hredeemer.org"
"Bible Baptist Church","1500 E Vine St","Baptist church","http://www.bbc-hcs.org/","pastorj@bbc-hcs.org"
"Bible Baptist Church","1500 E Vine St","Baptist church","http://www.bbc-hcs.org/","churchinfo@bbc-hcs.org"
"Bible Baptist Church","1500 E Vine St","Baptist church","http://www.bbc-hcs.org/","bbcwebsiteemails@gmail.com"
"St John's Episcopal Church","1709 N John Young Pkwy","Episcopal church","http://stjohns-ec.com/","info@stjohns-ec.com"
"Breath of Life Worship Center Inc.","1278 S John Young Pkwy","Church","http://www.bolwc.org/","life@bolwc.org"
"North Kissimmee Baptist Church","425 W Donegan Ave","Baptist church","http://www.northkissimmeechristianschool.com/index.php/our-school/our-pastor.html","admin@northkissimmeechristianschool.com"
"First Church of the Nazarene","1550 Mill Slough Rd","Church","http://kissimmeefirstnaz.com/","mikemcinturff97@gmail.com"
"First Church of the Nazarene","1550 Mill Slough Rd","Church","http://kissimmeefirstnaz.com/","segota4@hotmail.com"
"First Church of the Nazarene","1550 Mill Slough Rd","Church","http://kissimmeefirstnaz.com/","kfchurch@embarqmail.com"
