"name","location","type","url","email"
"Victory Church","1201 Taylor Ln","Church","https://www.google.com/aclk?sa=l&ai=DChcSEwjrj7zV89noAhWR_mQKHfL8DCYYABAAGgJwag&sig=AOD64_0Um6FVLy3-rl1w-XZiO_DrUNphBw&adurl&q&ctype=99","info@victoryoflehigh.com"
"Victory Church","1201 Taylor Ln","Church","https://www.google.com/aclk?sa=l&ai=DChcSEwjrj7zV89noAhWR_mQKHfL8DCYYABAAGgJwag&sig=AOD64_0Um6FVLy3-rl1w-XZiO_DrUNphBw&adurl&q&ctype=99","Info@victoryoflehigh.com"
"Lehigh Acres Christian Church","50 Bell Blvd","Church","http://www.lehighchurch.org/","churchoffice@lehighchurch.org"
"Lehigh Acres Christian Church","50 Bell Blvd","Church","http://www.lehighchurch.org/","derek@lehighchurch.org"
"Lehigh Acres Christian Church","50 Bell Blvd","Church","http://www.lehighchurch.org/","8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com"
"Lehigh Acres Christian Church","50 Bell Blvd","Church","http://www.lehighchurch.org/","churchoffice@gmail.com"
"Lehigh Acres Church-Nazarene","210 Lee Blvd","Church","http://www.lehighnaz.org/","lehighnaz@gmail.com"
"Lee Boulevard Baptist Church","3107 Lee Blvd","Baptist church","http://www.lbbclehigh.com/","lbbclehigh@gmail.com"
"Lee Boulevard Baptist Church","3107 Lee Blvd","Baptist church","http://www.lbbclehigh.com/","8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com"
"Faith Lutheran Church","705 Leeland Heights Blvd E","Church","http://www.faithlutheranla.org/","pastor@faithlutheranla.org"
"Faith Lutheran Church","705 Leeland Heights Blvd E","Church","http://www.faithlutheranla.org/","admin.office@faithlutheranla.org"
"Christ United Methodist Church","1430 Homestead Rd N","Methodist church","http://www.christumclehigh.org/","admin@christumclehigh.org"
"New Image Ministries Church","29 Homestead Rd S","Church","http://newimageministries.net/","admin@newimageministries.net"
"New Image Ministries Church","29 Homestead Rd S","Church","http://newimageministries.net/","pastors@newimageministries.net"
"First Presbyterian Church","60 Bell Blvd N","Presbyterian church","http://www.fpclehigh.org/","churchoffice@fpclehigh.org"
"First Presbyterian Church","60 Bell Blvd N","Presbyterian church","http://www.fpclehigh.org/","example@domain.com"
"First Presbyterian Church","60 Bell Blvd N","Presbyterian church","http://www.fpclehigh.org/","brians@finalweb.com"
"First Presbyterian Church","60 Bell Blvd N","Presbyterian church","http://www.fpclehigh.org/","hurchoffice@fpclehigh.org"
"First Presbyterian Church","60 Bell Blvd N","Presbyterian church","http://www.fpclehigh.org/","churchfpcoffice@gmail.com"
"Victory Church","1201 Taylor Ln","Church","http://www.victoryoflehigh.com/","info@victoryoflehigh.com"
"Victory Church","1201 Taylor Ln","Church","http://www.victoryoflehigh.com/","Info@victoryoflehigh.com"
"Gunnery Road Christian Academy","1880 Gunnery Rd N","Religious school","http://www.mygrca.com/","info@mygrca.com"
