"name","location","type","url","email"
"Church In The Son","4484 N John Young Pkwy","Non-denominational church","http://churchintheson.com/","info@churchintheson.com"
"First Presbyterian Church of Orlando","106 E Church St #3341","Presbyterian church","https://fpco.org/","info@fpco.org"
"Direction Church","7039 Grand National Dr #101","Church","http://www.direction.church/","info@direction.church"
"Direction Church","7039 Grand National Dr #101","Church","http://www.direction.church/","info@dchurchorlando.org"
"Cathedral Church Of St Luke","130 N Magnolia Ave","Episcopal church","http://www.ccslorlando.org/","ccslwelcome@gmail.com"
"St. Nicholas Catholic Church","5135 Sand Lake Rd","Catholic church","http://orlandobyzantine.com/","STNICHOLASCATHOLICCHURCH@CFL.RR.COM"
"St. Nicholas Catholic Church","5135 Sand Lake Rd","Catholic church","http://orlandobyzantine.com/","stnicholascatholicchurch@cfl.rr.com"
"Real Life Christian Church East Orlando","2413 S Goldenrod Rd","Christian church","http://real.life/","office@real.life"
"Blessed Trinity Catholic Church","4545 Anderson Rd","Catholic church","http://www.blessedtrinityorlando.org/","prayer@orlandodiocese.org"
"Joy Metropolitan Community Church","2351 S Ferncreek Ave","Church","https://www.joymcc.com/","info@joymcc.com"
"Joy Metropolitan Community Church","2351 S Ferncreek Ave","Church","https://www.joymcc.com/","admin@joymcc.com"
"Faith Baptist Church","500 N Bumby Ave","Baptist church","https://www.faithbaptistorlando.com/","Elders@faithbaptistorlando.com"
"Central Parkway Baptist Church","5281 Central Florida Pkwy","Baptist church","http://cpbcorlando.com/","Cpbc5281@yahoo.com"
"Reformed Christian Church of Orlando","7362 Futures Dr STE 18","Reformed church","http://www.reformedchristianchurch.com/","contact@ccoflorida.com"
"Reformed Christian Church of Orlando","7362 Futures Dr STE 18","Reformed church","http://www.reformedchristianchurch.com/","contact@reformedchristianchurch.com"
