"name","location","type","url","email"
"Spring Hill Baptist Church","3140 Mariner Blvd","Church","http://www.springhillbc.com/","info@springhillbc.com"
"Great Life Church","14494 Cortez Blvd","Church","http://www.greatlifechurch.com/","office@greatlifechurch.com"
"Life Church Spring Hill","18924 County Line Rd","Church","http://www.lifechurchnow.com/","info@lifechurchnow.cc"
"Crosspoint Church","13470 Chambord St, Brooksville, FL 34613 meeting at Challenger K8 School, 13400 Elgin Blvd","Church","http://www.crosspointlive.com/","info@crosspointlive.com"
"SpringLife Church","9344 Spring Hill Dr","United Methodist church","http://www.springlife.church/","hello@springlife.church"
"New Beginning Life Center","3350 Commercial Way","Non-denominational church","http://nblc.org/","info@nblc.org"
"St Joan of Arc Catholic Church","13485 Spring Hill Dr","Catholic church","https://www.stjoanofarcfl.com/","jchrchca@tampabay.rr.com"
"Spring Hill Church of Christ","5456 Deltona Blvd","Church","http://www.springhillchurchofchrist.org/","springhillcofc@bellsouth.net"
"St. Frances X. Cabrini Parish","5030 Mariner Blvd","Church","http://www.stfrances.org/","info@stfrances.org"
"Holy Cross Lutheran Church","6193 Spring Hill Dr","Church","http://www.lutheranholycross.org/","holycrossspringhill@gmail.com"
"Forest Oaks Lutheran Church","8555 Forest Oaks Blvd","Church","http://www.forestoakslutheran.com/","folcoffice@tampabay.rr.com"
"Forest Oaks Lutheran Church","8555 Forest Oaks Blvd","Church","http://www.forestoakslutheran.com/","caseybraun96@gmail.com"
"Spring Hill Calvary Church","235 Cobblestone Dr","Church","http://www.springhillcalvarynaz.org/","springhillcalvary@yahoo.com"
