"name","location","type","url","email"
"Central Christian Church","6161 22nd Ave N","Non-denominational church","http://centralstpete.com/","info@centralstpete.com"
"Cathedral Church of Saint Peter","140 4th St N","Episcopal church","http://www.spcathedral.com/","hpeete@spcathedral.com"
"Unitarian Universalist Church of St. Petersburg","100 Mirror Lake Dr N","Unitarian Universalist Church","http://www.uustpete.org/","minister@uustpete.org"
"Unitarian Universalist Church of St. Petersburg","100 Mirror Lake Dr N","Unitarian Universalist Church","http://www.uustpete.org/","re@uustpete.org"
"Unitarian Universalist Church of St. Petersburg","100 Mirror Lake Dr N","Unitarian Universalist Church","http://www.uustpete.org/","rentals@uustpete.org"
"St. Petersburg MCC","3150 5th Ave N","Christian church","http://www.churchstpetersburg.org/","candace@churchstpetersburg.org"
"St. Petersburg MCC","3150 5th Ave N","Christian church","http://www.churchstpetersburg.org/","gina@churchstpetersburg.org"
"St. Petersburg MCC","3150 5th Ave N","Christian church","http://www.churchstpetersburg.org/","bev@churchstpetersburg.org"
"St. Petersburg MCC","3150 5th Ave N","Christian church","http://www.churchstpetersburg.org/","jeremiah@churchstpetersburg.org"
"Grace Bible Church","555 61st St S","Non-denominational church","http://gracebiblechurchstpete.com/","office@gbcemail.org"
"St Petersburg Presbyterian Church","600 83rd Ave NE","Presbyterian church","http://stpetepca.org/","sppcinfo@stpetepca.org"
"St Petersburg Presbyterian Church","600 83rd Ave NE","Presbyterian church","http://stpetepca.org/","kkrueger@bloomberg.net"
