"name","location","type","url","email"
"Relevant Church","1704 N 16th St","Church","http://relevantchurch.com/","jjordan@relevantchurch.com"
"Relevant Church","1704 N 16th St","Church","http://relevantchurch.com/","info@relevantchurch.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","acalderon@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","jwacaser@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","schristian@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","jpark@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","nrichie@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","btobias@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","dgeorge@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","caseyb@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","abartlett@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","bdattoma@gfconline.com"
"Grace Family Church - South Tampa","4479 W Gandy Blvd suite a","Place of worship","http://gfconline.com/southtampa","southtampa@gfconline.com"
"Southside Baptist Church","Southwest Tampa, 3911 W Bay Ave","Baptist church","http://www.sbctampa.org/","webadmin@sbctampa.org"
"First United Church of Tampa","4120 N Macdill Ave","Church","https://ucctampa.org/","revbpjackson@yahoo.com"
"Watermark Church","6608 N Central Ave","Church","http://watermarktampa.com/","maribel@watermarktampa.com"
"Watermark Church","6608 N Central Ave","Church","http://watermarktampa.com/","nicole@watermarktampa.com"
"Watermark Church","6608 N Central Ave","Church","http://watermarktampa.com/","prayer@watermarktampa.com"
"Saint Patrick Catholic Church","4518 S Manhattan Ave","Catholic church","http://www.stpatricktampa.org/","info@stpatricktampa.org"
"St. Joseph Catholic Church","3012 W Cherry St","Catholic church","http://stjosephchurchtampa.org/","stjosephtpa@gmail.com"
