"name","location","type","url","email"
"Word of Life Christian Center","544 Queen St","Church","https://wolhawaii.com/","info@wolhawaii.com"
"Word of Life Christian Center","544 Queen St","Church","https://wolhawaii.com/","dyokomori@wolhawaii.com"
"St. Augustine by the Sea","130 hua Ave","Catholic church","http://www.staugustinebythesea.com/","staugustinebythesea@gmail.com"
"Huikala Baptist Church","1216 Waimanu St","Baptist church","http://huika.la/","info@huikala.org"
"Central Union Church of Honolulu","1660 S Beretania St","Church","http://www.centralunionchurch.org/","gavin-moffat@centralunionchurch.org"
"Central Union Church of Honolulu","1660 S Beretania St","Church","http://www.centralunionchurch.org/","info@centralunionchurch.org"
"Kaimuki Christian Church","1117 Koko Head Ave #3709","Christian church","http://kaimukichristian.org/","kcc@kaimukichristian.org"
"One Love Ministries","670 Auahi St A5","Church","http://www.onelove.org/","office@onelove.org"
"First Christian Church of Honolulu","1516 Kewalo St","Church","http://www.firstchristianchurchhonolulu.org/","fccoffice@hawaii.rr.com"
"Community Church of Honolulu","2345 Nuuanu Ave","Church","http://www.cchonolulu.org/","info@cchonolulu.org"
"Community Church of Honolulu","2345 Nuuanu Ave","Church","http://www.cchonolulu.org/","hollynorwick@gmail.com"
"Community Church of Honolulu","2345 Nuuanu Ave","Church","http://www.cchonolulu.org/","ardisg@cchonolulu.org"
"New Life City | Waikiki Church","151 Kapahulu Ave","Church","http://www.churchinwaikiki.org/","rk@churchinwaikiki.org"
