"name","location","type","url","email"
"Redeemer Church","211 Northshore Dr","Non-denominational church","http://www.redeemernw.org/","info@redeemernw.org"
"Redeemer Church","211 Northshore Dr","Non-denominational church","http://www.redeemernw.org/","dane@redeemernw.org"
"Redeemer Church","211 Northshore Dr","Non-denominational church","http://www.redeemernw.org/","krista@redeemernw.org"
"First Congregational Church","2401 Cornwall Ave","United Church of Christ","https://www.fccb.net/","office@fccb.net"
"Church of the Assumption","2116 Cornwall Ave","Catholic church","http://www.assumption.org/","parishoffice@assumption.org"
"Northlake Community Church","1471 McLeod Rd","Church","http://www.northlakeonline.org/","info@northlakeonline.org"
"New Song Church","4600 Guide Meridian","Non-denominational church","http://www.nscbellingham.com/","tsimpson@nscbellingham.com"
"Sacred Heart Catholic Church","1110 14th St","Catholic church","http://www.shbham.org/","info@shbham.org"
"Bellingham Covenant Church","1530 E Bakerview Rd","Church","http://www.bellinghamcov.org/","frontdesk@bellinghamcov.org"
"Bellingham Baptist Church","2501 Orleans St","Baptist church","http://www.bellingham.church/","bellinghambc@gmail.com"
"Faith Lutheran Church","2750 McLeod Rd","Lutheran church","http://www.faithbellingham.org/","office@faithbellingham.org"
"First Presbyterian Church","1031 N Garden St","Presbyterian church","http://www.fpcbellingham.org/","info@fpcbellingham.org"
"Spring Creek Bible Church","567 E Kellogg Rd","Church","http://www.scbiblechurch.org/","office@scbiblechurch.org"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","maryann.ohara@gmail.com"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","office.stjohnsbelling@gmail.com"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","office.stjohnsbellingham@gmail.com"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","offce.stjohnsbellingham@gmail.com"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","pastor.stjohnsbellingham@gmail.com"
"St John's Lutheran Church","2530 Cornwall Ave","Church","http://stjohnsbellingham.com/","6989marine@gmail.com"
