"name","location","type","url","email"
"First Christian Church of Bremerton","811 Veneta Ave","Christian church","http://www.bremertondisciples.org/","fcc.bre@bremertondisciples.org"
"Holy Trinity Church","4215 Pine Rd NE","Church","https://htcbremerton.org/","mail@holyt.org"
"Holy Trinity Church","4215 Pine Rd NE","Church","https://htcbremerton.org/","mail@holytrinitymail.org"
"Holy Trinity Church","4215 Pine Rd NE","Church","https://htcbremerton.org/","d.brown@holyt.org"
"Abundant Life Foursquare Church","5610 Kitsap Way","Foursquare church","http://www.alfc.us/","info@alfc.us"
"Abundant Life Foursquare Church","5610 Kitsap Way","Foursquare church","http://www.alfc.us/","pastorsteve@alfc.us"
"Bremerton United Methodist Church","1150 Marine Dr","United Methodist church","http://www.bremertonumc.com/","bremumc@gmail.com"
"Bremerton United Methodist Church","1150 Marine Dr","United Methodist church","http://www.bremertonumc.com/","bremertonumc@gmail.com"
"Bremerton Church of Christ","500 Pleasant Dr","Church","https://www.bremertonchurchofchrist.org/","info@bremertonchurchofchrist.org"
"St Paul's Episcopal Church","700 Callahan Dr","Episcopal church","https://www.stpaulsbremerton.org/","stpaul700@gmail.com"
"St Paul's Episcopal Church","700 Callahan Dr","Episcopal church","https://www.stpaulsbremerton.org/","duanedelessart@gmail.com"
"Manette Community Church","1137 Hayward Ave","Christian church","https://manettecc.org/","office@manettecc.org"
"Emmanuel Apostolic Church","1023 6th St","Church","http://www.emmanuelapostolicchurch.com/","kol@kitsapfoundation.org"
"Sinclair Missionary Baptist Church","4900 Auto Center Blvd","Baptist church","http://www.sinclairmbc.org/","sinclairmbc1944@yahoo.com"
"Lincoln Avenue Bible Church","1250 Lincoln Ave","Church","http://www.labchurch.org/","office@labchurch.org"
"Faith Community Bible Church","3648 W F St","Church","http://www.fcbcbremerton.org/","office@fcbcbremerton.org"
