"name","location","type","url","email"
"First Christian Church of Kent","11717 SE 240th St","Christian church","http://kentdisciples.org/","fcckent@kentdisciples.org"
"Faith Church","25636 140th Ave SE","Church","http://faithkent.org/","office@faithkent.org"
"East Hill Baptist Church","25650 124th Ave SE","Church","http://www.easthillbaptistofkent.org/","info@easthillbaptist.org"
"New Life Church","24044 104th Ave SE","Church","http://www.nlchurch.com/","info@nlchurch.com"
"First Baptist Church Of Kent","11420 SE 248th St","Baptist church","http://www.kentfirstbaptist.org/","kentfirstbaptist@live.com"
"Kent Christian Center-Assembly","9440 Canyon Dr","Assemblies of God church","http://www.kentchristiancenter.org/","kcclife@hotmail.com"
"Calvary Chapel South","1340 W Smith St","Church","http://www.ccskent.org/","email@ccskent.org"
"Kent United Methodist Church","11010 SE 248th St","United Methodist church","http://www.kentmethodist.com/","general@KentMethodist.com"
"Kent United Methodist Church","11010 SE 248th St","United Methodist church","http://www.kentmethodist.com/","jbygland@kentmethodist.com"
"New Beginnings Christian Fellowship","19300 108th Ave SE","Baptist church","http://www.thenbcf.org/","joe@gmail.com"
