"name","location","type","url","email"
"New Bridge Community Church","812 Central St SE","Church","http://www.nbccoly.org/","admin@nbccoly.org"
"First United Methodist Church of Olympia","1224 Legion Way SE","United Methodist church","http://www.fumcoly.org/","fumco@fumcoly.org"
"Evergreen Christian Community","1000 Black Lake Blvd SW","Church","http://www.evergreenpnw.com/","reception@evergreenpnw.com"
"Evergreen Christian Community","1000 Black Lake Blvd SW","Church","http://www.evergreenpnw.com/","reception@ecconline.cc"
"Capital Christian Center","4431 Martin Way E","Church","http://www.go2ccc.org/","info@go2ccc.org"
"Capital Christian Center","4431 Martin Way E","Church","http://www.go2ccc.org/","dianer@go2ccc.org"
"The United Churches of Olympia","110 11th Ave SE","United Church of Christ","http://www.theunitedchurches.org/","admin@theunitedchurches.org"
"Harbor Church","819 Olympia Ave NE","Church","http://harborolympia.com/","info@harborolympia.com"
"Unity Church of Olympia","1335 Fern St SW","Unity church","http://www.unityofolympia.org/","office@unityofolympia.org"
"Saint Michael Parish","1208 11th Ave SE","Catholic church","http://www.saintmichaelparish.org/","office@saintmichaelparish.org"
"First Christian Church","701 Franklin St SE","Christian church","https://www.firstchristianolympia.org/","churchoffice@firstchristianolympia.org"
"St John's Episcopal Church","114 20th Ave SE","Episcopal church","https://www.stjohnsoly.org/","mary@stjohnsoly.org"
"Olympia First Baptist Church","904 Washington St SE","Baptist church","http://www.fbcolympia.org/","team@latofonts.com"
"Olympia First Baptist Church","904 Washington St SE","Baptist church","http://www.fbcolympia.org/","impallari@gmail.com"
