"name","location","type","url","email"
"Life Center","1202 Government Way","Foursquare church","https://lifecenter.net/","info@lifecenter.net"
"Fourth Memorial Church","2000 N Standard St","Church","http://fourthmemorial.com/","office@fourthmemorial.com"
"Unitarian Universalist Church","4340 W Fort George Wright Dr","Unitarian Universalist Church","http://www.uuspokane.org/","volunteer@uuspokane.org"
"Unitarian Universalist Church","4340 W Fort George Wright Dr","Unitarian Universalist Church","http://www.uuspokane.org/","uucs@uuspokane.org"
"City Church Spokane","1047 W Garland Ave","Church","http://www.citychurchspokane.org/","office@citychurchspokane.org"
"Family of Faith Community Church","1504 W Grace Ave","Church","http://www.ffcc.us/","service@ffcc.us"
"Turning Point Open Bible Church","11911 N Division St","Church","http://tpob.org/","info@tpob.org"
"Central Lutheran Church","512 S Bernard St","Lutheran church","https://www.clspokane.org/","clspokane@comcast.net"
"Christ Church Spokane","228 E Gordon Ave","Church","https://ccspokane.com/","office@ccspokane.com"
"North Addison Baptist Church","6120 N Addison St","Baptist church","http://www.nabcspokane.org/","info@nabcspokane.org"
