"name","location","type","url","email"
"City Central Church","2520 6th Ave","Non-denominational church","http://www.citycentral.org/","info@citycentral.org"
"First Christian Church of Tacoma","602 N Orchard St","Christian church","http://www.fcctacoma.org/","info@fcctacoma.org"
"Life Center","1717 S Union Ave","Assemblies of God church","http://www.lifecenter.com/","lccommunications@life-center.org"
"Faith Baptist Church","5714 29th St NE","Baptist church","http://www.foundedonfaith.com/","andyl@foundedonfaith.com"
"Fellowship Bible Church","3806 Portland Ave E","Non-denominational church","http://www.fbctacoma.org/","info@fbctacoma.org"
"Church For All Nations","111 112th St E","Church","http://cfan.church/","info@cfan.church"
"Anchor Church Tacoma","2401 S Orchard St","Christian church","http://www.anchortacoma.org/","bryan@anchortacoma.org"
"Anchor Church Tacoma","2401 S Orchard St","Christian church","http://www.anchortacoma.org/","info@anchortacoma.org"
"First Presbyterian Church","20 Tacoma Ave S","Presbyterian church","http://www.fpctacoma.org/","generalinfo@fpctacoma.org"
"Urban Grace: The Downtown Church","902 Market St","Church","http://urbangrace.org/","prayer@urbangrace.org"
"Church In Tacoma","5012 N 14th St","Church","https://churchintacoma.org/","contact@churchintacoma.com"
"First Lutheran Church","524 S I St","Lutheran church","http://flctacoma.org/","pastor@flctacoma.org"
"Resurrection Church","918 Division Ave","Church","http://www.resurrectionchurch.com/","drew@resurrectionchurch.com"
"Resurrection Church","918 Division Ave","Church","http://www.resurrectionchurch.com/","info@resurrectionchurch.com"
"Trinity Church","4041 Tacoma Mall Blvd","Church","http://www.trinitycares.org/","info@trinitycares.org"
