"name","location","type","url","email"
"Yakima Foursquare Church","700 N 40th Ave","Foursquare church","http://www.yakimafoursquare.org/","frontdesk@yakimafoursquare.org"
"Holy Family Catholic Church","5315 Tieton Dr","Catholic church","http://www.holyfamilyyakima.org/","office@holyfamilyyakima.org"
"Stone Church","3303 Englewood Ave","Church","http://stonechurch.us/","info@stonechurch.us"
"Together Church","509 N 4th St","Church","http://together.church/","info@cc.church"
"Christian Life Center","716 N 40th Ave","Church","https://myclc.life/","team@latofonts.com"
"Christian Life Center","716 N 40th Ave","Church","https://myclc.life/","www.anamegda.com|anapbm@gmail.com"
"Restoration Church","101 N Naches Ave #2714","Church","http://www.restorationyakima.com/contact","info@restorationyakima.com"
"Englewood Christian Church","511 N 44th Ave","Church","http://englewoodchristianchurch.com/","Eccoffice@Englewoodchristianchurch.com"
"Yakima Bible Baptist Church","6201 Tieton Dr","Baptist church","http://yakimabbc.com/","yakimabbc6201@gmail.com"
"Mountainview Christian Fellowship","7105 Alpine Way","Methodist church","http://www.mvcfyakima.com/","pastormountainview@gmail.com"
"Saint Joseph's Parish Catholic Church","212 N 4th St","Catholic church","http://www.stjosephyakima.com/","a.hernandez@yvn.com"
"The Cross Church","8700 Summitview Ave","Church","http://www.thecrosschurch.com/","crosschurchemail@gmail.com"
"Yakima Alliance Church","902 S 36th Ave","Alliance church","http://www.yakimachurch.com/","support@sharefaith.com"
"Yakima Covenant Church","6015 Summitview Ave","Church","http://yakimacovenant.org/","info@yakimacovenant.org"
"Central Lutheran Church","1604 W Yakima Ave","Lutheran church","http://clcyakima.org/","office@clcyakima.org"
