"name","location","type","url","email"
"Christ Temple Church","2400 Johnstown Rd","Church","http://www.ctcwv.com/","info@ctcwv.com"
"Christ Temple Church","2400 Johnstown Rd","Church","http://www.ctcwv.com/","prayer@ctcwv.com"
"St Joseph Catholic Church","1304 6th Ave","Catholic church","http://www.stjoeshuntington.org/","mmoore@stjoeshuntington.org"
"Trinity Episcopal Church","520 11th St","Episcopal church","http://www.wvtrinitychurch.org/","admin@wvtrinitychurch.org"
"Our Lady of Fatima Catholic Church","545 Norway Ave","Catholic church","http://www.ourfatimafamily.com/","church@olofatima.org"
"New Baptist Church Inc","610 28th St","Baptist church","http://www.newbaptistchurch.com/","newbaptist2008@gmail.com"
"reGeneration Church","1502 4th Ave","Church","http://www.regenerationwv.com/","info@regenerationwv.com"
"Redemption Church","1021 4th Ave","Church","http://www.redemptionwv.com/","info@redemptionwv.com"
"Redemption Church","1021 4th Ave","Church","http://www.redemptionwv.com/","redemption1021@gmail.com"
"St John's Episcopal Church","3000 Washington Blvd #1633","Episcopal church","http://www.stjohnshuntingtonwv.org/","office@stjohnshuntingtonwv.org"
"Crossroads Baptist Church","875 Norway Ave","Baptist church","http://crossroadsbaptistwv.org/","deblynwalton@gmail.com"
"Jefferson Avenue Church of God","2039 Jefferson Ave","Church","http://www.jacog.com/","jeffavecog@aol.com"
