"name","location","type","url","email"
"Pathways Church","311 W Evergreen Dr","Church","http://www.pathwayschurch.us/","info@pathwayschurch.us"
"Apostolic Truth Church","2720 N Kesting Ct","Church","http://www.apostolictruthchurch.com/","contact@atchurch.org"
"St. Joseph Catholic Church","404 W Lawrence St","Catholic church","http://www.saintjosephparish.org/","St.Joseph.Appleton@SaintJosephParish.org"
"Celebration Church Appleton Campus","324 E Florida Ave","Church","http://celebrationchurch.tv/locations","info@celebrationchurch.tv"
"St Pius X Church","500 W Marquette St","Church","http://www.stpiusappleton.org/","secretary@stpiusxappleton.com"
"St Pius X Church","500 W Marquette St","Church","http://www.stpiusappleton.org/","tamsforrest@gmail.com"
"St Pius X Church","500 W Marquette St","Church","http://www.stpiusappleton.org/","mercy@stpiusxappleton.com"
"St Pius X Church","500 W Marquette St","Church","http://www.stpiusappleton.org/","ffyouth@stpiusxappleton.com"
"St. Mary's Catholic Church","312 S State St","Catholic church","http://stmaryparish.org/","stmary@stmaryparish.org"
"First English Lutheran Church","326 E North St","Church","http://www.felc.com/","felc@felc.com"
"Sacred Heart Parish","222 E Fremont St","Catholic church","http://www.sacredheartappleton.com/","litsch@sacredheartappleton.com"
"Sacred Heart Parish","222 E Fremont St","Catholic church","http://www.sacredheartappleton.com/","office@sacredheartappleton.com"
"Valley Baptist Church","3600 Chippewa St","Church","http://www.valleyconnex.org/","nrbarger@att.net"
"Valley Baptist Church","3600 Chippewa St","Church","http://www.valleyconnex.org/","valleysec@valleyconnex.org"
"Valley Baptist Church","3600 Chippewa St","Church","http://www.valleyconnex.org/","sannburns1220@gmail.com"
"Valley Baptist Church","3600 Chippewa St","Church","http://www.valleyconnex.org/","ptcreamer@gmail.com"
"Faith Lutheran Church","601 E Glendale Ave","Church","http://www.faithfoxvalley.org/","churchoffice@faithfv.org"
