"name","location","type","url","email"
"Peace Church","501 E Fillmore Ave","Church","http://www.mypeacechurch.com/","info@mypeacechurch.com"
"Valleybrook Church","412 S Barstow St","Christian church","http://valleybrookchurch.org/","info@valleybrookchurch.org"
"Cedarcreek Community Church","3520 Eastwind Dr","Church","https://www.ccreek.org/","info@ccreek.org"
"Cedarcreek Community Church","3520 Eastwind Dr","Church","https://www.ccreek.org/","justinwichman@ccreek.org"
"Gateway Church","3445 Gateway Dr","Church","http://www.gatewaychurchecwi.org/","Office@gatewaychurchecwi.org"
"Faith Church","3431 Fear St","Pentecostal church","http://www.myfaith.church/","hello@myfaith.church"
"Eau Claire Wesleyan Church","2405 Keith St","Church","http://www.ecwesleyan.net/","office@ecwesleyan.net"
"Renew Church","416 Niagara St","Church","http://www.discoverrenew.org/","info@iamrenew.org"
"Grace Lutheran Church","202 W Grand Ave","Lutheran church","http://www.grace-church.org/","info@grace-church.org"
"Baptist Evangelical Church","125 Illinois St","Church","http://www.baptistevangelical.com/","Office@BaptistEvangelical.com"
"West Ridge Church","3906 Kane Rd","Assemblies of God church","http://www.westridgechurch.us/","Info@westridgechurch.us"
"West Ridge Church","3906 Kane Rd","Assemblies of God church","http://www.westridgechurch.us/","westridgechurchec@gmail.com"
"Trinity Lutheran Church ELCA","1314 E Lexington Blvd","Church","http://www.trinity-ec.org/","trinity@trinity-ec.org"
