"name","location","type","url","email"
"Living Hope Church","Green Bay","Church","http://lhcgb.com/","contactus@lhcgb.com"
"First United Methodist Church of Green Bay","Green Bay","United Methodist church","http://www.fumcgb.org/","office@fumcgb.org"
"Highland Crest Baptist Church","Green Bay","Baptist church","http://www.highlandcrestbaptist.com/","info@highlandcrestbaptist.com"
"Bridge Point Church","Green Bay","Church","http://www.bridgepointgb.com/","office@bridgepointgb.com"
"First Presbyterian Church","Green Bay","Presbyterian church","http://www.firstpresgreenbay.org/","awittman3473@gmail.com"
"Calvary Lutheran Church","Green Bay","Lutheran church","https://www.calvarygb.com/","pastorjeff@calvarygb.com"
"Calvary Lutheran Church","Green Bay","Lutheran church","https://www.calvarygb.com/","calvary@calvarygb.com"
"Redeemer Lutheran Church","Green Bay","Lutheran church","http://redeemerlutherangb.com/","redeemergreenbay@gmail.com"
"Redeemer Lutheran Church","Green Bay","Lutheran church","http://redeemerlutherangb.com/","redeemerlutheran4@gmail.com"
"Central Church","Green Bay","Pentecostal church","http://www.mycentral.church/","info@myCentral.church"
"Good Shepherd Lutheran Church - Green Bay","Green Bay","Lutheran church","http://www.gslcgb.org/","goodshepherdhoward@gmail.com"
"Good Shepherd Lutheran Church - Green Bay","Green Bay","Lutheran church","http://www.gslcgb.org/","admin@gslcgb.org"
"St Peter & Paul Catholic Church","Green Bay","Catholic church","http://www.sspeterpaulgb.org/","sspeterpaulgb@gmail.com"
