"name","location","type","url","email"
"Kenosha Bible Church","5405 67th St","Evangelical church","http://kenoshabible.org/","kbc@kenoshabible.org"
"Kenosha Bible Church","5405 67th St","Evangelical church","http://kenoshabible.org/","KBC@kenoshabible.org"
"St. Paul's Lutheran Church Kenosha","8760 37th Ave","Lutheran church","http://stpaulskenosha.org/","stplc.office@sbcglobal.net"
"St Anthony's Church","2223 51st St","Catholic church","http://www.stanthonykenosha.org/","padua@wi.rr.com"
"St Mary's Lutheran Church","2001 80th St","Church","http://www.stmaryslutheran.org/","PPetersen@stmaryslutheran.org"
"St Mary's Lutheran Church","2001 80th St","Church","http://www.stmaryslutheran.org/","ppetersen@stmaryslutheran.org"
"St Mary's Lutheran Church","2001 80th St","Church","http://www.stmaryslutheran.org/","SRawn@stmaryslutheran.org"
"St Mary's Lutheran Church","2001 80th St","Church","http://www.stmaryslutheran.org/","info@stmaryslutheran.org"
"Christ The King Church","5934 8th Ave","Church","http://www.ctkckenosha.com/","office@ctkckenosha.org"
"St Matthews Episcopal Church","5900 7th Ave","Episcopal church","http://stmatthewskenosha.net/","stmatts5900@gmail.com"
"First Presbyterian Church","1803 83rd St","Presbyterian church","http://www.kenoshafpc.org/","pastor@kenoshafpc.org"
