"name","location","type","url","email"
"Cornerstone Community Church","130 5th Ave N","Church","http://www.cornerstonelacrosse.org/","ben@cornerstonelacrosse.org"
"Cornerstone Community Church","130 5th Ave N","Church","http://www.cornerstonelacrosse.org/","info@cornerstonelacrosse.org"
"La Crosse Christian Church","535 16th St S","Christian church","https://www.lacrossechristianchurch.com/","communicationslcc1@gmail.com"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","josh.walker@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","tommy.moize@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","befc.pray@yahoo.com"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","info@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","sara.woelper@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","billy.hestand@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","tami.deleeuw@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","parker.rabe@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","glenna.lenardson@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","cathy.dewar@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","brian.palmer@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","lisa.cochlin@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","david.baxley@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","norv.brown@bethanyefc.org"
"Bethany Free Church","3936 Co Rd B","Church","http://www.bethanychurchlax.com/","michelle.kendall@bethanyefc.org"
"English Lutheran Church ELCA","1509 King St","Lutheran church","http://www.englishlutheran.org/","office@englishlutheran.org"
"Living Word Christian Church","2015 Ward Ave","Church","http://www.lwcclax.com/","info@lwcclax.com"
"First Lutheran Church (WELS)","400 West Ave S","Lutheran church","http://www.firstlacrosse.org/","church@firstlacrosse.org"
"First Lutheran Church (WELS)","400 West Ave S","Lutheran church","http://www.firstlacrosse.org/","school@firstlacrosse.org"
"First Lutheran Church (WELS)","400 West Ave S","Lutheran church","http://www.firstlacrosse.org/","tbaier@charter.net"
"First Lutheran Church (WELS)","400 West Ave S","Lutheran church","http://www.firstlacrosse.org/","example@domain.com"
"Saint James Catholic Church","1032 Caledonia St","Church","http://www.saintjameslax.com/","webmaster@saintjameslax.com"
"Good Shepherd Lutheran Church ELCA","4141 Mormon Coulee Rd","Lutheran church","http://www.gslacrosse.org/","info@gslacrosse.org"
"Blessed Sacrament Catholic Church","130 Losey Blvd S","Catholic church","http://www.bsplacrosse.org/","bspscrip@yahoo.com"
"Blessed Sacrament Catholic Church","130 Losey Blvd S","Catholic church","http://www.bsplacrosse.org/","office@bsplacrosse.org"
"Coulee Rock Community Church","3059 Medco Ct","Non-denominational church","http://www.couleerock.com/","info@couleerock.com"
"First Congregational Church","2503 Main St","Church","http://firstcongolax.org/","admin@firstcongolax.org"
"La Crosse Area Synod of the ELCA","2301 South Ave","Lutheran church","http://www.lacrosseareasynod.org/","office@lacrosseareasynod.org"
"Holy Trinity Catholic Church","1333 13th St S","Catholic church","http://htlacrosse.org/","htparish@outlook.com"
"Holy Trinity Catholic Church","1333 13th St S","Catholic church","http://htlacrosse.org/","holytrinityreled@charter.net"
