"name","location","type","url","email"
"The Vine Church","902 Ann St","Church","http://www.thevinemadison.org/","info@thevinemadison.org"
"High Point Church","7702 Old Sauk Rd","Church","http://www.highpointchurch.org/","info@highpointchurch.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","brinkman@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","ninke@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","wagner@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","schaeffer@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","swiggum@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","oleary@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","pohlman@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","worzaladumke@luthermem.org"
"Luther Memorial Church","1021 University Ave","Church","http://www.luthermem.org/","office@luthermem.org"
"City Church","4909 E Buckeye Rd","Church","http://www.citychurchonline.org/","ccinfo@citychurchonline.org"
"Door Creek Church - Sprecher Road Campus","6602 Dominion Dr","Church","http://www.doorcreekchurch.org/","lfeldmann@doorcreekchurch.org"
"Grace Episcopal Church","116 W Washington Ave","Episcopal church","http://www.gracechurchmadison.org/","togracechurch@gmail.com"
"New Life Church","7564 Cottage Grove Rd","Church","http://www.newlifelc.com/","newlifelc@sbcglobal.net"
"Good Shepherd Lutheran Church - Madison Campus","5701 Raymond Rd","Lutheran church","http://www.gslcwi.com/","pastors@gslcwi.com"
"Good Shepherd Lutheran Church - Madison Campus","5701 Raymond Rd","Lutheran church","http://www.gslcwi.com/","info@gslcwi.com"
"christ presbyterian church","944 E Gorham St","Presbyterian church","http://www.cpcmadison.org/","info@cpcmadison.org"
"Covenant Presbyterian Church","326 S Segoe Rd","Presbyterian church","http://www.covenantmadison.org/","info@covenantmadison.org"
"St. Maria Goretti Catholic Church","5313 Flad Ave","Catholic church","http://www.stmariagoretti.org/","parish@stmariagoretti.org"
