"name","location","type","url","email"
"Chinese Christian Church of Milwaukee","3069 N Downer Ave","Christian church","http://www.cccm.net/","office.cccm@gmail.com"
"Faith Builders Church","4901 S Howell Ave","Church","http://www.myfaithbuilders.com/","hello@myfaithbuilders.com"
"Redeemer Lutheran Church","631 N 19th St.","Lutheran church","http://redeemermilwaukee.org/","redeemermilw@att.net"
"Christ The King Baptist Church","7750 N 60th St","Baptist church","http://www.ctkbc.org/","info@ctkbc.org"
"Christ The King Baptist Church","7750 N 60th St","Baptist church","http://www.ctkbc.org/","nicole.elms@ctkbc.org"
"Immanuel Presbyterian Church","1100 N Astor St","Presbyterian church","http://www.immanuelwi.org/","robertater@immanuelwi.org"
"Immanuel Presbyterian Church","1100 N Astor St","Presbyterian church","http://www.immanuelwi.org/","ipc@immanuelwi.org"
"Brew City Church","1036 N Van Buren St","Church","http://brewcitychurch.org/","info@brewcitychurch.com"
"Brew City Church","1036 N Van Buren St","Church","http://brewcitychurch.org/","info@brewcitychurch.org"
"Milwaukee Church of Christ","750 N Lincoln Memorial Dr #314","Church of Christ","http://www.milwaukeechurch.org/","contact@milwaukeechurch.org"
"Plymouth Church UCC","2717 E Hampshire St","United Church of Christ","https://www.plymouth-church.org/","plymouthchurchmke@gmail.com"
"Calvary Presbyterian Church","628 N 10th St","Presbyterian church","http://calvary.thebigredchurch.org/","office@thebigredchurch.org"
"Mercy Hill Church","2842 S 5th Ct","Christian church","http://www.mercyhill.org/","info@mercyhill.org"
"Mercy Hill Church","2842 S 5th Ct","Christian church","http://www.mercyhill.org/","admin@mercyhill.org"
"All Peoples Church","2600 N 2nd St","Church","http://www.allpeoplesgathering.org/","office@allpeoplesgathering.org"
"Grace Evangelical Lutheran Church","1209 N Broadway","Lutheran church","http://www.gracedowntown.org/contact/","aschumacher@gracedowntown.org"
